Title,Image URL,Price,Lease Rental,Down Payment,Vehicle Link
Land For Sale In Meegoda,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"3,325,000",N/A,https://patpat.lk/property/land/land-for-sale-in-meegoda/1280864
Land For Sale In Dewalapola,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"16,625,000",N/A,https://patpat.lk/property/land/land-for-sale-in-dewalapola/1308707
Land For Sale In Ragama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/239c350c51cc5941dca47950552d8fec-188792.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ragama/1313127
Land For Sale In Bandarawela,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3f958bae14e2df6bba94b702a898b6d5-652856.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-bandarawela/1281758
Land With House For Sale In Narammala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4d4ce87afd2b080c3bfd1239c7b0d516-272436.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-with-house-for-sale-in-narammala/1313042
Land For Sale In Ekala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0fe15db6631e24b47ed2f65140de4717-997897.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ekala/1313039
Land For Sale In Madawala Ulpotha,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4e692046d4e86158bd32334ff3457690-595651.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-madawala-ulpotha/1313034
Land For Sale In Talawatugoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fd412116ae838df5fdc72b497038a7d4-655316.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-talawatugoda/1312947
Land For Sale In Kottawa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ed8b92d0d284f9f2d5cd18ba8ac2380b-624646.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kottawa/966216
Land For Sale In Kaluaggala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a746d4ed261472ccc61d1f599069d54b-387923.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kaluaggala/1312964
Land For Sale In Ja-Ela,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9cdcf775189115212bc1679fe67a05d41312974_1.jpeg,Negotiable,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ja-ela/1312974
Land For Sale In Kadawatha,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/dfbc355644cbfd8f0ea872b1d47093e81312875_3.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kadawatha/1312875
Land For Sale In Monaragala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/873859ac7223c75d4282d888e76c9068-611848.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-monaragala/1312907
Land For Sale In Diddeniya,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/76dbf05ed4201ff3036601a20b20dccc1312746_1.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-diddeniya/1312746
Land For Sale In Dodangoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8db59a54a25554fb3d70d5a4c5d1f4a6-811173.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-dodangoda/1312790
Land For Sale In Marawila,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e37546423fe7f892d81457f01b6536071312860_1.jpg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-marawila/1312860
Land For Sale In Hanwella,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2fced959f3620071ef902b8fb9d7e8cd-590020.jpeg,Negotiable,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-hanwella/1244280
Land For Sale In Horana,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/07d76e4bcd80f4c44e38756bbb92dbe5-131806.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-horana/1312805
Land For Sale In Wadduwa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3bef4d1155247d24d033869447bce1c6-282244.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-wadduwa/1312800
Land For Sale In Dodangoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/b7d6805031727d19162c93fa26644dfd-333309.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-dodangoda/1312777
Land For Sale In Panadura,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/811511a48f4c18f69715bf813dd58e18-970155.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-panadura/1312778
Land For Sale In Marawila,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8d02d2ccdb6c8abedaee49881152edd8-698233.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-marawila/1312771
