Title,Image URL,Price,Lease Rental,Down Payment,Vehicle Link
Land For Sale In Nuwara Eliya,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"6,800,000",N/A,https://patpat.lk/property/land/land-for-sale-in-nuwara-eliya/1273058
Land For Sale In Bandaragama,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"13,500,000",N/A,https://patpat.lk/property/land/land-for-sale-in-bandaragama/1305149
Land For Sale In Ragama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/239c350c51cc5941dca47950552d8fec-188792.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ragama/1313127
Land For Sale In Bandarawela,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3f958bae14e2df6bba94b702a898b6d5-652856.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-bandarawela/1281758
Land With House For Sale In Narammala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4d4ce87afd2b080c3bfd1239c7b0d516-272436.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-with-house-for-sale-in-narammala/1313042
Land For Sale In Ekala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0fe15db6631e24b47ed2f65140de4717-997897.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ekala/1313039
Land For Sale In Madawala Ulpotha,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4e692046d4e86158bd32334ff3457690-595651.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-madawala-ulpotha/1313034
Land For Sale In Talawatugoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fd412116ae838df5fdc72b497038a7d4-655316.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-talawatugoda/1312947
Land For Sale In Kottawa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ed8b92d0d284f9f2d5cd18ba8ac2380b-624646.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kottawa/966216
Land For Sale In Kaluaggala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a746d4ed261472ccc61d1f599069d54b-387923.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kaluaggala/1312964
Land For Sale In Ja-Ela,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9cdcf775189115212bc1679fe67a05d41312974_1.jpeg,Negotiable,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ja-ela/1312974
