Title,Image URL,Price,Lease Rental,Down Payment,Vehicle Link
Land For Sale In Gampaha,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"20,700,000",N/A,https://patpat.lk/property/land/land-for-sale-in-gampaha/1257499
Land For Sale In Ruwanwella,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"25,000,000",N/A,https://patpat.lk/property/land/land-for-sale-in-ruwanwella/1308252
Land For Sale In Ragama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/239c350c51cc5941dca47950552d8fec-188792.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ragama/1313127
Land For Sale In Bandarawela,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3f958bae14e2df6bba94b702a898b6d5-652856.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-bandarawela/1281758
Land With House For Sale In Narammala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4d4ce87afd2b080c3bfd1239c7b0d516-272436.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-with-house-for-sale-in-narammala/1313042
Land For Sale In Ekala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0fe15db6631e24b47ed2f65140de4717-997897.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ekala/1313039
Land For Sale In Madawala Ulpotha,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4e692046d4e86158bd32334ff3457690-595651.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-madawala-ulpotha/1313034
Land For Sale In Talawatugoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fd412116ae838df5fdc72b497038a7d4-655316.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-talawatugoda/1312947
Land For Sale In Kottawa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ed8b92d0d284f9f2d5cd18ba8ac2380b-624646.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kottawa/966216
Land For Sale In Kaluaggala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a746d4ed261472ccc61d1f599069d54b-387923.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kaluaggala/1312964
Land For Sale In Ja-Ela,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9cdcf775189115212bc1679fe67a05d41312974_1.jpeg,Negotiable,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ja-ela/1312974
Land For Sale In Kadawatha,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/dfbc355644cbfd8f0ea872b1d47093e81312875_3.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kadawatha/1312875
Land For Sale In Monaragala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/873859ac7223c75d4282d888e76c9068-611848.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-monaragala/1312907
Land For Sale In Diddeniya,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/76dbf05ed4201ff3036601a20b20dccc1312746_1.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-diddeniya/1312746
Land For Sale In Dodangoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8db59a54a25554fb3d70d5a4c5d1f4a6-811173.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-dodangoda/1312790
Land For Sale In Marawila,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e37546423fe7f892d81457f01b6536071312860_1.jpg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-marawila/1312860
Land For Sale In Hanwella,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2fced959f3620071ef902b8fb9d7e8cd-590020.jpeg,Negotiable,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-hanwella/1244280
Land For Sale In Horana,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/07d76e4bcd80f4c44e38756bbb92dbe5-131806.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-horana/1312805
Land For Sale In Wadduwa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3bef4d1155247d24d033869447bce1c6-282244.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-wadduwa/1312800
Land For Sale In Dodangoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/b7d6805031727d19162c93fa26644dfd-333309.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-dodangoda/1312777
Land For Sale In Panadura,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/811511a48f4c18f69715bf813dd58e18-970155.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-panadura/1312778
Land For Sale In Marawila,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8d02d2ccdb6c8abedaee49881152edd8-698233.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-marawila/1312771
Land For Sale In Gampaha,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"20,700,000",N/A,https://patpat.lk/property/land/land-for-sale-in-gampaha/1257499
Land For Sale In Kadawatha,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"11,250,000",N/A,https://patpat.lk/property/land/land-for-sale-in-kadawatha/1285025
Land For Sale In Hanwella,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/de1586d90895fa520acfe1cc46b985491312758_1.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-hanwella/1312758
Land For Sale In Ratmalana,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/03ca46a2bdb704f1718ebf56033ec90e-153640.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ratmalana/1312767
Land For Sale In Kosgama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/dd26f70d0d755e602dacf34f5b84369c-256297.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kosgama/1312763
Land For Sale In Deraniyagala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e7ed24e8063c7e8b91665f4ed9b28ffc-395396.jpeg,Negotiable,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-deraniyagala/1230031
Land For Sale In Pilawala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/d5bbbfb3ef1f33f282931017e7808472-140996.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-pilawala/1267098
Land With House For Sale In Kaduwela,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/413d9c4556cb33461fc5ec50ba53ead7-189759.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-with-house-for-sale-in-kaduwela/1312615
Land For Sale In Kurunegala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/7ad8722f71b35bb98dbfc14970d7f0a2-541046.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kurunegala/1312719
Land For Sale In Narammala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/01035da5e29d929d08f0551cabe78570-493746.jpeg,Negotiable,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-narammala/1312721
Land With House For Sale In Malabe,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fe46b38ca161bf4e17a1c46bd46feb55-883997.jpeg,Negotiable,N/A,N/A,https://patpat.lk/property/land/land-with-house-for-sale-in-malabe/1312705
Land For Sale In Bandaragama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a26e35211d19bffa0236c065bc03ab41-315334.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-bandaragama/1312720
Land For Sale In Horana,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/88b83dfa6dfd6c4cf9648c1da4331c11-966187.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-horana/1312718
Land For Sale In Kadawatha,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4c16f66b9a329663c728deac6e8091cf-232420.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kadawatha/1312700
Land For Sale In Horana,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/31785dd7a314ca194ebff712d7c92ead-532879.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-horana/1312670
Land For Sale In Homagama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/7b93fbe929150d049f4ea48d7bede5e9-174238.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-homagama/1312661
Land For Sale In Hanwella,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/01da3caa19f6e29b0103cfa211449efa-313601.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-hanwella/1312682
Land For Sale In Homagama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/290dc9abfd8d64d3c2a7f6ba4172414a-868800.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-homagama/1312671
Land For Sale In Nittambuwa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4faa4a8ab388d4c56e285e0cdb2c65af-322901.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-nittambuwa/1312668
Land For Sale In Polpitigama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3dce1df157754e0f6fde4176385da4df-643682.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-polpitigama/1312667
Land For Sale In Padukka,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3d89020ef2df8cd0c332a4eb5d353d13-311791.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-padukka/1312665
Land For Sale In Padukka,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ecb573831932b4fc9b1ea6691bfbfb4e-302449.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-padukka/1312663
Land For Sale In Kadawatha,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"11,250,000",N/A,https://patpat.lk/property/land/land-for-sale-in-kadawatha/1285025
Land For Sale In Piliyandala,https://patpat-s3-live.s3.amazonaws.com/default_thumb.png,N/A,"8,000,000",N/A,https://patpat.lk/property/land/land-for-sale-in-piliyandala/1295353
Land For Sale In Bandarawela,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/22752459eccb47de1081ab339229287d-457347.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-bandarawela/1312650
Land For Sale In Katunayake,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/cb98196a5b627c5001db3b38b1f164ab-778606.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-katunayake/1312644
Land For Sale In Galle,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/724bc880bcbae5d7f2b312bce6388673-678789.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-galle/1312638
Land For Sale In Nittambuwa,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/347f0cda71405a3da4d814a7a77e55de1198127_1.jpg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-nittambuwa/1198127
Land For Sale In Wattala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/dd8fee135828bdb58bf246d12369e5ba-312701.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-wattala/1312610
Land For Sale In Mawanella,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a8be446e451d3527bfb4dfe4f132315f-447761.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-mawanella/1312598
Land For Sale In Mandawala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/850bae1f271b93d1557351a2818f17e11312595_3.jpg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-mandawala/1312595
Land For Sale In Colombo,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4a1cfb97dbb57ef2a35623af3b83b3ee-993228.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-colombo/1312592
Land For Sale In Tangalla,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0be0d9e4c388f7b8235fea9be5026cc4-169062.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-tangalla/1312589
Land For Sale In Kadawatha,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/71101090603e4cf91edfa5906138f509-533464.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-kadawatha/1312587
Land For Sale In Attanagalla,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/bd4cf93cb1b04dbae332ed8d817ca68a-815224.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-attanagalla/1312583
Land For Sale In Buthpitiya,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2157b13b9abe17960886eff159ddb726-204925.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-buthpitiya/1312590
Land For Sale In Homagama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/959abc778b2af3c8c614d2e6f09599b1-605295.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-homagama/1312580
Land For Sale In Ja-Ela,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ac62352f00ecf7a6bde2a1cd68e5e40a-873028.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ja-ela/1312564
Land For Sale In Dambulla,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/7d8d075b508e54df09f0e46f4fa74ae0-986976.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-dambulla/1312525
Land For Sale In Ganemulla,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c6bae836bfd17bd79eee6ac9e341348d-619856.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-ganemulla/1312521
House For Sale In Kaluaggala,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8024fdf7018397efb53045335d5d5bd9-169525.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/house-for-sale-in-kaluaggala/1312516
Land With House For Sale In Angoda,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/96dc6c52759fa24963541e780ea2163b-626031.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-with-house-for-sale-in-angoda/1312515
Land For Sale In Homagama,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/6d60196aed40a460af6297b134c47cc6-555606.jpeg,N/A,N/A,N/A,https://patpat.lk/property/land/land-for-sale-in-homagama/1295891
